Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_SensorBoard\Documentation\Pick and Place\STB_SensorBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       09.11.22
Time:       09:56
Revision:   18bfd3b5abf29e1933fc09800507b468027133b6
Variant:    STB_SensorBoard_main
Units used: mm

Designator Comment           Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
C22_T4     100nF             TopLayer CAPC1050X55X23LL05T13     292.8089     214.8824     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C22_T3     100nF             TopLayer CAPC1050X55X23LL05T13     292.8089     114.8524     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C22_T2     100nF             TopLayer CAPC1050X55X23LL05T13     51.1911      132.1176     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C22_T1     100nF             TopLayer CAPC1050X55X23LL05T13     51.1911      232.1176     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C17        100nF             TopLayer CAPC1050X55X23LL05T13     173.0500     302.1414     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C16        100nF             TopLayer CAPC1050X55X23LL05T13     188.0228     298.3500     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C15        100nF             TopLayer CAPC1050X55X23LL05T13     188.0227     299.2900     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C14        100nF             TopLayer CAPC1050X55X23LL05T13     158.2500     295.2830     90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C13        100nF             TopLayer CAPC1050X55X23LL05T13     155.3182     299.6809     270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C11        1nF               TopLayer CAPC1005X55X25ML5T10      240.3650     352.9000     0        "Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                  
C5         1nF               TopLayer CAPC1005X55X25ML5T10      271.3750     352.8916     180      "Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                  
C10        10uF              TopLayer CAPC0603(1608)100_L       240.4000     346.9000     0        "CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                         
